Customer No,Age,Income,Student,Credit Rating,Buys Computer
Ang biktima gitabang sa responders sa Disaster Risk Reduction Managment Office (DRRMO) apan nakabsan na sa kinabuh busa wala madala sa tambalanan.,,,,,
Ang PNP Scene of the Crime Operation (Soco) nakapunit og duha ka mga kabhang sa kalibre .45 nga armas. Gitan-aw sa kapulisan nga illegal drugs ang motibo sa maong krimen.,,,,,
,,,,,
Nag-brief na lang nga nidagan padung sa kalibunan ang usa ka 56 anyos nga lalaki nga biyudo dihang nasakpan nga ‘nilugos’ sa iyang silingan nga 13 anyos nga babaye sa Brgy. Pandan  siyudad sa Bogo  ala 1:00 sa hapon  Dominggo  Enero 14  2024.,,,,,
Apan ang ngan sa suspek nga silingan sa biktima wa una gibutyag sa kapulisan sa pagtago usab sa pagkatawo sa menor de edad.,,,,,
Sa imbestigasyon sa Wo­men and Children Protection Desk sa (WCPD) sa Bogo City Police Station ubos sa kamandoan sa ilang hepe nga si Police Lt. Col. Joan Arnoco  nasayran nga ang biktima nga 13 anyos nga babaye nitubag sa sugo sa lawas sa kalibunan.,,,,,
Pagkahuman niini  nangita siya sa iyang manghod apan sa kalit lang  nitumaw ang suspek ug gidala siya og balik sa kalibunan.,,,,,
Matod sa bata  gihaylo siya nga maoy mogasto sa iyang pag-eskwela ug didto na gibuhat ang lawasnong tinguha sa suspek.,,,,,
Apan nabulabog sa dihang dunay lain nilang silingang babaye nga nanguha og sa­nga sa kahoy ug didto iyang na­kit-an ang suspek ug biktima.,,,,,
Gisinggitan niini ang biktima sa pagdagan ug ang suspek nidagan usab nga nag-brief na lang padulong sa mas suok nga bahin sa kalibunan.,,,,,
Samtang  ang bata gikuyogan sa iyang silingan nga nakasaksi sa hitabo ngadto sa iyang ginikanan ug nitug-an sa nahitabo.,,,,,
Ang mga ginikanan ningsumbong sa kapulisan hinungdan nga nadakpan sa hot pursuit sa kapulisan ang suspek sa ilang dapit nga nakig-inom na sa iyang mga barkada.,,,,,
Samtang  ang WCPD sa Bogo City Police Station mohimo pa og dugang imbestigasyon kon ang bata malampuson ba’ng nalugos sa suspek pinaagi sa medical examination.,,,,,
Sa pagkakaron  ang suspek gitanggong na sa kapulisan sa Bogo ug gikatakda nga pasakaan og kaso nga pag-abuso sa usa ka menor de edad.,,,,,
,,,,,
Gikompirmar sa suspek sa pagpatay kang Joel Jude Suson Unchuan  alyas “Coach Jay” nga nasuko siya sa biktima hinungdan nga iyang napatay.,,,,,
Si Sonny Lumangca  20  taga lungsod sa Clarin  Misamis Occidental apan trabahante sa Jett Construction and Electrical Supply sa Barangay Subangdaku  dakbayan sa Mandaue  nitahan sa kapulisan niadtong Biyernes  Enero 12  2024.,,,,,
Sa interview sa DyHP RMN CEBU nitug-an siya nga gi-pickup siya sa biktima sa Subangdaku sanglit aduna silay nasabutan nga sila manglaag sa lungsod sa Compostela niadtong Disyembre 29  2023 sa gabii.,,,,,
Apan giingong wala sila nadayon pag-adto sa Compostela  inay nibalik sa agi hangtod naabot sa IT Park sa siyudad sa Sugbo.,,,,,
Samtang sa ilang pagbiyahe  nagsabot sila ni Coach J pagbuhat sa naandan nilang buhaton kon magkita sanglit nagkaila na sila kaniadto pa sa biktima sa 2022 sa iyang pagpanarbaho dinhi sa Sugbo.,,,,,
“Ana siya nga kuwang kuno iyang kwarta kay 200 lang dili paigo ” alegasyon sa suspek.,,,,,
Nialegar sab kini nga siya pa ang gibasol nganong nalangay sila ug kalas  matod pa  sa oras ug gasolina gumikan kay aduna pa siyay laing lakaw.,,,,,
Dinhi  matod sa suspek  nasuko siya ug adunay nahikapan nga bakos nga gigamit niya pagtuok sa biktima hangtod nga wala na kini panimuot.,,,,,
Dugang ni Lumangca nga wala na siya nasayod kon nganong nadala niya sa Inayagan sa dakbayan sa Naga ang biktima diin didto na kini napalgan nga way kinabuhi ang biktima. Siya niangkon nga dili siya kamao momaneho og sakyanan.,,,,,
Giingong tungod kay nakonsensya na siya sa iyang nabuhat nga krimen  nibalik siya sa Sugbo ug gisugat sa kapulisan sa pantalan niadtong Enero 12 2024  human niuli siya sa Clarin.,,,,,
Giangkon ni Lumangca nga wala silay relasyon ni ‘Coach J’ ug kutob ra sa pagchat-chat ang ilang komunikasyon ingon man magsabot sa buluhaton tali nilang duha.,,,,,
Nitug-an sab siya nga Disyembre 29  2023 niya napatay si “Coach J” ug siya ra ang nagmaneho-maneho sa sakyanan bisan iyang giangkon nga dili siya kamao mo-drive.,,,,,
Nangayo’g pasaylo si Lu­mangca sa pamilya ni “Coach J” bisan nasayod siya nga dili siya mapasaylo niini.,,,,,
Hugot ang iyang pangangkon nga nagbinugtong lang siya sa pagpatay sa biktima sukwahi sa migawas sa imbestigasyon nga duha ka mga tawo ang ninggawas sa sakyanan dihang giabandonar sa lungsod sa Liloan.,,,,,
,,,,,
Naukay ang mga lumolupyo sa bukirang bahin sa Purok Cacao  Barangay Camugao  lungsod sa Pinamungajan  alas 12:00 sa udto  Lunes  Enero 15  2024  dihang usa ka dalaga napalgan nga patay sa kasagingan nga gitabunan og mga unas sa saging.,,,,,
Ang biktima giila nga si Jocelyn Caparida Samillon  21  dalaga  lumolupyo sa naasoy nga dapit.,,,,,
Sa pakighinabi sa Superbalita Cebu kang Police Maj. Gilfred Baroman  hepe sa kapulisan sa Pinamungajan  nasayran nga ang biktima gikan sa disko sa piyesta sa Barangay Anapog sa maong lungsod nga silingang dapit sa Camugao.,,,,,
Matod ni Baroman  may nakakita sa biktima nga kuyog sa iyang suod nga kaliwat nga si Jimboy Pasacan  18  pauli sa ilang dapit gikan sa disko.,,,,,
Apan wa na igkita ang ma­ong batan-on sa ilang Purok Cacao human sa hitabo.,,,,,
Si Baroman nagkanayon nga sa ilang pagsubay pinaagi sa ilang nakuhang impormasyon sa posibling gitagoan sa suspek  didto na nila matul­tuli sa Barangay Bitoon  lungsod sa Dumanjug ang suspek sa balay sa kaliwat sa amahan niini.,,,,,
Ang suspek nagdala og bag padulong na unta mosibat agi sa pantalan sa Tangil padulong sa isla sa Negros.,,,,,
Si Baroman nagkanayon nga sa iyang pagpangutana sa suspek kon nganong iyang gipatay ang biktima  kini nitubag nga nahiubos siya sa biktima kay siya gipasanginlan nga nangawat.,,,,,
Matod niya nga sa iyang kasuko  iyang gisumbag ug gituok ang biktima hangtod nga namatay.,,,,,
Matod ni Baroman nga mokuha pa sila og dugang mga impormasyon sa habig sa mga ginikanan sa biktima kon unsa gyud ang nasuk-an sa suspek.,,,,,
Mahitungod sa anggulo sa rape  kini usa sa ilang iapil sa imbestigasyon ug masayran kini pinaagi sa autopsy sa lawas sa biktima.,,,,,
Apan nasuta sa pagtan-aw sa PNP Scene of the Crime Ope­ration (Soco)sa lawas sa biktima  ang short pants ug ang iyang sapot wa mahubo.,,,,,
,,,,,
Gihulagway sa Cebu City Police Office (CCPO) nga malinawon ug hapsay ang Sinulog sa Dakbayan ug Sinulog sa Lalawigan niadtong Sabado  Enero 13  ug Dominggo  Enero 14  2024  sa Cebu City Sports Center (CCSC).,,,,,
Si Police Lt. Col. Janette Rafter  deputy city director for operations sa CCPO  ang duha ka mga dagkong kalihukan gibantayan sa kapin sa usa ka libo ka security personnel.,,,,,
Way natala ang kapulisan nga krimen sa sulod sa CCSC  lakip na sa rota sa Sinulog  gikan sa pagsugod hangtod nga natapos sa lawom na nga gabii.,,,,,
“Malipayon ta nga wala gyud tay nataho nga krimen ” matod ni Rafter.,,,,,
Gibana-bana ni Rafter nga kapin sa 15 000 ka mga tawo ang ningsaksi sa sulod sa CCSC  wala pay labot ang liboan usab ka mga tawo sa gawas nga nag-atang sa pag-agi sa contingents.,,,,,
Usa sa nabantayan ni Rafter nga ilaha unya nga korehian mao ang mga photographer nga angay nga ipahimutang aron dili makabalda sa sayaw sa contingents.,,,,,
Nakasabot si Rafter nga dunay indigay sa pagkuha og hulagway apan kinahanglan sila nga ipahimutang aron dili magkayamukat.,,,,,
“Naay part sa ilang sayaw nga mokalit sila’g dagan  nya manga-hamper sila..” dugang ni Rafter.,,,,,
Nagpasalamat ang CCPO sa publiko nga nisunod sa ilang panawagan nga dili magdala’g mahalong butang aron dili mabiktima sa mga dautang elemento.,,,,,
,,,,,
Naila sa ilang dungan nga lakang sa pagsayaw ug dili kaayo mahalong props  ang Carcar City nigawas gihapon nga kampeyon sa Ritual Showdown sa Sinulog sa Lalawigan 2024 nga gipahigayon sa Cebu City Sports Center (CCSC) niadtong Dominggo  Enero 14  2024.,,,,,
Si Kathryn Estenzo  46  usa ka public school supervisor ug ang creative adviser alang sa festivals sa Carcar City  maoy nagpaluyo sa konsepto sa ‘crab mentality’ sa Carcar City contingent.,,,,,
“I just believe that we have this Filipino trait na until now naa pa gihapon  and by reflection [ I ] believe we can change our negative trait ” matod ni Estenzo.,,,,,
Ang Carcar City contingent nakadawat sa kinatibuk-ang ganti nga P3 milyunes gikan sa Cebu Province ug laing P500 000 gikan sa Cebu City.,,,,,
“Happy  thank you Sr. Sto. Niño ” matod ni Estenzo ngadto sa SunStar Cebu human pag-anunsiyo nga sila ang nidaug.,,,,,
“Mag wait mi ni Guv (Gobernador Gwen Garcia) ” dugang ni Estenzo human gipangutana kon andam na ba sila sa hagit nga makigtigi sa Sinulog Mardi Gras 2024 sa South Road Property (SRP) karong Enero 21.,,,,,
Samtang  gipildi sa Tribu Canamucan sa lungsod sa Samboan ang laing 15 ka teams ug nakuha ang titulo sa Street Dancing Champion sa Sinulog sa Lalawigan 2024.,,,,,
Si Sherwin Taneo  32  taga dakbayan sa Mandaue  head choreographer sa Samboan contingent  nagpasalamat sa Sto. Nino sanglit walay usa ka semana ang ilang pagpraktis sa tibuok sayaw ug nag-ensayo og usa ka adlaw alang sa ilang mga lakang sa street dancing.,,,,,
“Among pag-ari sa siyudad kay purely halad  ang pagdaug is bonus nalang siya ” matod ni Taneo.,,,,,
Malipayon si Taneo nga nahimo’ng kabahin sa kadaugan sa Samboan tungod kay kini ang unang higayon nga ang lungsod nakigtigi sa usa ka grand festival showdown.,,,,,
,,,,,
CEBU  Philippines — Napalgang patay ang usa ka 21-anyos nga babaye sa gamay nga sapa-sapa sa Purok Cacao  Barangay Camugao  Lungsod sa Pinamungajan alas 12 sa udto kagahapon.,,,,,
Ang biktima giila nga si Jocelyn Caparida Samillon  residente ra usab sa naasoy nga lugar.,,,,,
Nadakpan sab dayon sa Pinamungajan Police Station pinangulohan ni Major Gilfred Baroman ang suspek nga usa ka 18-anyos nga lalake nga silingan ug suod nga higala ug paryente ra sab sa biktima kansang pangalan gipugngan una sa Banat News tungod dunay report nga menor de edad pa kini. Matud ni Baroman ang dapit kun asa nakit-an ang patay’ng lawas sa biktima duol ra sa ilang panimalay ug nakita sab nga dunay bun-og sa lawas ang biktima ilabi na sa liog.,,,,,
Sa wala pa napalgan ang biktima  gikatahong nakit-an pa kini sa diskohan sa silingang barangay diha sa Barangay Anapog niadtong Domingo sa gabii  Enero 14  2024 kuyog niini ang suspek ug ang maguwang sa suspek.,,,,,
Sakay sila sa duha ka motor sa ilang pagpamauli apan gumikan kay lisod ang dalan padung sa ilang panimalay maong ninaog ang suspek ug ang biktima ug naglakaw nalang padung sa ilaha.,,,,,
Apan giingong wala na makaabot sa ilang balay ang biktima hangtud nga nadiskubrehan nalang nga patay na kini diha sa maong gamay nga sapa. Ang suspek nga maoy kataposang giingong kauban sa dalaga giingong misibat ngadto sa bukirang bahin sa Barangay Bitoon  Lungsod Dumanjug ug nitago sa iyang amahan  apan naabtan kini gihapon sa mga polis didto ug gidakop.,,,,,
Matud pa sa suspek ngadto sa kapolisan napatay niya ang biktima kay nahiubos siya nga gipasanginlan siyang kawatan sa ilang lugar.,,,,,
Matud pa suod sila nga managhigala maong iyaha kining gisumbag sa kuto-kuto ug dihang nakuyapan iyaha kining gituok.,,,,,
“Nabalik sa iyang panumdoman mga ingon ana nasakitan siya maong iyahang nahinaykan  maong napatay niya ” sigon ni Baroman.,,,,,
Ipaubos ang patay'ng lawas sa biktima aron masuta kun kini gilugos ba kini.,,,,,
,,,,,
CEBU  Philippines — Duna gyuy kabutangan sa mga magpabadlong atol sa Sinulog Festival tungod kay gaandam na ang Cebu City Police Office (CCPO) og mga “Bust-Bus” kun asa ibalhog ang madakpan nga mga badlungon.,,,,,
Matud ni Police Lieutenant Colonel Janette Rafter  Deputy City Director for Operations sa CCPO ang “Bust-Bus” butangan na og imbestigador aron dili na kinahanglan nga moadto og police station ilabi na sa adlaw sa Sinulog Grand Parade kay nakita nila nga lisod na ang pagilihok gumikan sa kadaghan og tawo.,,,,,
Upat ka bus ang gi-request sa Cebu City Police Office ngadto sa Kagamhanan sa siyudad sa Sugbo diin ibutang kini sa Mango Avenue nga ilado gyud dagsaan og mga tawo  ug usab sa Plaza Independencia ug duha sa South Road Properties kun asa ang venue sa Sinulog 2024.,,,,,
“Atong nakita mahaw-as gyud ang tawo sa SRP paingon gyud ni diri tanan sa downtown…During sa event sa Grand Parade duha atong ibutang diha but gabie na kay atong makita base on sa atong experiences magsugod na diha alas 11 mao gyud na ang kasagsagan sa mga tawo enough time pud nga makabiyahe ang atong bus gikan sa SRP”. matud ni Lt. Col. Rafter.,,,,,
Pasakaan gyud og kaso sa Cebu City Police Office kaning makamugna og kagubot ilabi na kining mga hubog bisan paman og ang duha ka habig nagkahusay na aron dili kini sundon sa uban.,,,,,
“We really do not tolerate kaning makagubot  it’s always been like that nga instruction sa atong City Director Police Colonel Ireneo Dalogdog nga ato gyud ni hatagan og appropriate charges kaning makagubot sa kalingawan sa atong publiko bisan pa og moingon nagka-settle sila no okay nagka-settle sila sa ilahang side ang atong kapolisan mo-file og kaso gihapon.,,,,,
